category,title,price,rating,review_count,availability,discount
clothing,"Marvel Toddler Backpack for School Girls and Boys | Kindergarten Elementary Kids Backpack | Fletcher Collection | Kids - Medium (15"" tall)",39.99,4.5,383,3,6.75
clothing,"Energizer CR2032 Batteries, 3V Lithium Coin Cell 2032 Watch Battery,White (6 Count)",7.95,4.5,249,5,0.62
clothing,Pro Combat Hyperwarm Hydropull Hood,47.95,4.5,290,4,6.82
clothing,Apple Watch Series 9 45mm (GPS + Cellular) Aluminum Black with Medium/Large Black Sport Band,324.99,4.5,685,3,21.01
clothing,"Travel Backpack for Women, Carry On Backpack with USB Charging Port & Shoe Pouch, TSA 15.6inch Laptop Backpack Flight Approved, Nurse Bag Casual Daypack for Weekender Business Hiking, Pink",23.99,4.5,283,1,4.44
clothing,"Heritage Backpack 2.0, Black/Black/White, Misc",37.75,4.5,59,4,7.96
clothing,"Finer Form Multi-Functional Gym Bench for Full All-in-One Body Workout – Versatile Fitness Equipment for Hyper Back Extension, Roman Chair, Adjustable Situp, Decline, Flat Bench",179.99,4.5,769,4,22.89
clothing,Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock Mint Green,169.99,4.5,429,2,28.87
clothing,"Premium Edition Jewelry Cleaner, Value Size 9.6oz - Pick from Fine, Silver or Delicate Jewelry Cleaner",9.99,4.5,752,5,0.62
clothing,"Elite Hoops Pro Basketball nkBA5554 (One_Size, Black/Metallic Cool Grey)",99.99,4.5,284,2,6.49
clothing,"Sion Softside Expandable Luggage, Black, Checked-Large 29-Inch",104.99,4.5,878,4,27.82
clothing,"Lightweight Casual Laptop Backpack with USB Charging Port for Men and Women, Backpack for School boys and girls, Bookbag, High School Backpack for Teens, Backpack for College (Full Black)",23.99,4.5,264,4,4.88
clothing,"Apple Watch SE (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Renewed)",137.0,4.5,569,2,28.82
clothing,"Apple Watch Series 9 [GPS 45mm] Smartwatch with Pink Aluminum Case with Pink Sport Loop. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Carbon Neutral",429.0,4.5,513,1,101.65
clothing,unisex-adult Pro Hyperwarm Hydropull Hood Balaclava,38.0,4.5,159,4,7.58
clothing,"Duracell 2032 Lithium Battery. 6 Count Pack. Child Safety Features. Compatible with Apple AirTag, Key Fob, and other devices. CR2032 Battery Lithium Coin Battery. CR Lithium 3V Cell",7.2,4.5,598,9,1.21
clothing,Women's Shapewear Bodysuit Tummy Control Body Shaper Seamless Sculpting Snatched Waist Body Suit,37.99,4.5,419,4,5.02
clothing,Men's Eversoft Cotton Stay Tucked Crew T-Shirt,16.48,4.5,913,7,1.18
clothing,Men's 12 Pair Pack Dual Defense Cushioned Socks,12.81,4.5,259,7,0.82
clothing,"Face Moisturizer, Daily Oil Free Facial Moisturizer with SPF 35, For Dry or Oily Combination Sensitive Skin, Fragrance Free Face Lotion",12.0,4.5,863,6,3.5
clothing,"1900 Scansmart TSA 17 Laptop Backpack, Black, 19-Inch",80.97,4.5,682,4,5.57
clothing,"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing(Rose Gold)",26.99,4.5,804,2,1.38
clothing,"Frida Mom Labor and Delivery Gown For Hospital, Easy-Snap, Tagless Nursing Gown with Skin-to-Skin Access and Full Coverage in The Back Charcoal",23.99,4.5,582,3,4.45
clothing,"TONEOF 60"" Travel Tripod,Cell Phone Selfie Stick Tripod,Smartphone Tripod Stand All-in-1 with Integrated Wireless Remote,Portable,Lightweight,Tall Extendable Phone Tripod for iPhone and Android",29.99,4.5,983,2,8.39
clothing,Men's Athletic Cushioned Low Cut Socks with Arch Compression for a Secure Fit (6-Pair),16.5,4.5,18,9,3.62
clothing,"Alliance Sackpack, Black, One Size",14.0,4.5,213,7,2.22
clothing,"OOriginal Sandal - Lightweight Recovery Footwear - Reduces Stress on Feet, Joints & Back - Machine Washable",55.89,4.5,257,1,10.63
clothing,"Oxford Composition Notebook 6 Pack, School Supplies, Notebooks for School, Wide Ruled Paper. 9-3/4 x 7-1/2 Inches, 100 Sheets, Assorted Marble Covers, 2 Each: Blue, Green, Red (63762)",12.5,4.5,459,7,3.5
clothing,"TriggerPoint 13"" Multi-Density Foam Roller - Relieves Muscles, Improves Mobility",28.44,4.5,960,3,3.29
clothing,"Apple Watch Series 5 (GPS, 40MM) - Space Gray Aluminum Case with Black Sport Band (Renewed)",142.95,4.5,210,1,29.94
clothing,"Everyday Performance Training Socks (6-Pair) (L (Men's 8-12 / Women's 10-13), Ankle(Quarter) White)",26.89,4.5,699,1,2.79
clothing,"SONGMICS 6 LEDs Mirror Jewelry Cabinet, 47.2-Inch Tall Lockable Wall or Door Mounted Jewelry Armoire Organizer with Mirror, 2 Drawers, 3.9 x 14.6 x 47.2 Inches, White UJJC93W",139.99,4.5,616,3,26.83
clothing,"Ayush Herbs Carditone, Doctor-Formulated Natural Ayurvedic Herbal Supplement, Trusted for Over 30 Years, 60 Vegetarian Caplets",36.97,4.5,281,1,10.68
clothing,Wallet for Men Slim Rfid Leather 2 ID Window With Gift Box,19.97,4.5,779,8,5.88
clothing,"Hair Clips for Women 4.3 Inch Large Hair Claw Clips for Women Thin Thick Curly Hair, Big Matte Banana Clips,Strong Hold jaw clips,Neutral Colors",8.97,4.5,50,10,2.62
clothing,Bentgo® Kids Chill Leak-Proof Lunch Box - Included Reusable Ice Pack Keeps Food Cold; 4-Compartment Bento Lunch Container; Microwave/Dishwasher Safe; 2 Year Manufacturer's Warranty (Aqua),29.99,4.5,668,2,6.35
clothing,"16 Pack Travel Bottles Set - TSA Approved Leak Proof Silicone Squeezable Containers for Toiletries, Conditioner, Shampoo, Lotion & Body Wash Accessories (16 pcs/White Pack)",12.99,4.5,565,10,3.12
clothing,"Men's Tag Free Woven Boxer Shorts, Relaxed Fit, Moisture Wicking, Assorted Color Multipacks",21.48,4.5,259,9,5.25
clothing,"Recon Everyday Laptop Backpack, TNF Black/TNF Black-NPF, One Size",109.0,4.5,454,2,25.5
clothing,Crossbody Sling Backpack Sling Bag Travel Hiking Chest Bag Daypack,21.59,4.5,672,7,4.94
clothing,Cast Iron Kettlebell,34.7,4.5,816,1,8.48
clothing,G-Shock GWM5610-1 Men's Solar Black Resin Sport Watch,103.17,4.5,51,4,9.8
clothing,"Pentel® EnerGel™ RTX Retractable Liquid Gel Pens, Medium Point, 0.7 mm, Assorted Colors, Pack Of 12 Pens",17.99,4.5,95,5,3.07
clothing,TSA Friendly Travel Laptop Backpack 17.3 inch XL Computer Backpack Water-Repellent College Daypack Business Backpack with RFID Pockets & USB Port for Men/Women-Black,46.99,4.5,751,2,9.56
clothing,"Oxford Composition Notebooks, School Supplies, Notebooks for School, College Ruled Paper, 9-3/4 x 7-1/2 Inches, School Comp Book, Black Marble Covers, 100 Lined Sheets, 12 per Pack (63796)",23.72,4.5,754,1,5.57
clothing,"Cute Castle 12 Pack Muslin Burp Cloths for Baby - Ultra-Soft 100% Cotton Baby Washcloths - Large 20'' by 10'' Super Absorbent Milk Spit Up Rags - Burpy Cloths for Unisex, Boy, Girl - White",16.98,4.5,309,6,1.83
clothing,Pendaflex Two-Tone Color File Folders Letter Size - 100 Pack of 12 Assorted Colors Folders for Documents - 1/3-Cut Tabs,32.97,4.5,283,2,7.5
clothing,"Men’s Total Support Pouch Boxer Briefs, X-Temp Cooling, Moisture-Wicking Underwear, Regular, Long-leg and Trunk, 3-Pack",16.11,4.5,661,6,3.27
clothing,"Retro Aviator Sunglasses for Women Men,Trendy Rectangle Womens Mens Shades Sun Glasses SJ2202",12.74,4.5,916,9,3.73
clothing,"Custom T-Shirt with Your Image for Men, Women and Kids by Modify by Amazon Merch on Demand",14.99,4.5,171,10,4.1
clothing,Women's Suede Clogs Leather Mules Cork Footbed Sandals Potato Shoes with Arch Support,39.99,4.5,172,2,3.39
clothing,"Bento Box Adult Lunch Box, Containers for Adults Men Women with 4 Compartments, Lunchable Food Container with Utensils, Sauce Jar, Muffin Liners, 40 Oz/5 Cup, Microwave & Dishwasher Safe, Brown",11.99,4.5,728,6,2.33
clothing,"Boys' Socks, Double Tough Cushioned Crew Socks, 12-pair Packs",9.99,4.5,878,5,2.41
clothing,Sun Visor Hats for Women Wide Brim Straw Roll-Up Ponytail Summer Beach Hat UV UPF Packable Foldable Travel,19.99,4.5,499,9,4.52
clothing,"SAMSUNG Galaxy Watch 6 44mm Bluetooth Smartwatch, Fitness Tracker, Personalized HR Zones, Advanced Sleep Coaching, Heart Monitor, BIA Sensor for Health Wellness Insights, Big Screen, US Version Silver",216.45,4.5,277,1,52.18
clothing,"Unisex Borealis Backpack, One Size, Tnf Black",105.8,4.5,776,4,30.6
clothing,"Creator 2 Backpack, Black/White, One Size",34.5,4.5,464,1,9.17
clothing,Men's Bag Cotton Quarter Cut Socks (6 Pack),30.5,4.5,665,3,8.53
clothing,"Casio fx-260SOLARII 1-Line Scientific Calculator, Black",9.49,4.5,456,9,0.69
clothing,"Duracell CR2025 3V Lithium Battery, Child Safety Features, 4 Count Pack, Lithium Coin Battery for Key Fob, Car Remote, Glucose Monitor, CR Lithium 3 Volt Cell",4.99,4.5,704,8,0.79
clothing,"Crayola Classic Bundle: 3 Items - Crayons (24 Count), Broad Line Markers (10 Count), Colored Pencils (12 Count)",8.64,4.5,388,6,2.02
clothing,Mustangs T-Shirt,15.99,4.5,826,10,1.16
clothing,"Unisex Performance Cushion Crew Socks with Bag (6 Pairs), White/Black, Medium",31.0,4.5,403,1,4.86
clothing,"Streamlight 85177 CR123A Lithium Batteries, 12-Pack",24.99,4.5,232,1,6.41
clothing,"Butterluxe High Waisted Lounge Legging 25"" - Workout Leggings for Women Buttery Soft Yoga Pants",32.0,4.5,981,2,4.43
clothing,"Men's Sleeveless Tank A-Shirt, Tag Free & Moisture Wicking, Ribbed Stretch Fabric",16.41,4.5,592,10,2.35
clothing,"Yankee Candle Balsam & Cedar Scented, Classic 22oz Large Jar Single Wick Candle, Over 110 Hours of Burn Time, Ideal Holiday Gift",16.88,4.5,375,6,1.81
clothing,"Bushnell Golf Tour V5 Patriot Pack, Black",222.72,4.5,572,2,65.25
clothing,"Women's The Canvas Small Tote Bag, Black, One Size",136.99,4.5,910,2,11.24
clothing,"Apple Watch Ultra [GPS + Cellular 49mm] Titanium Case with Midnight Ocean Band, One Size (Renewed)",469.95,4.5,445,4,65.54
clothing,Plus Cushion Socks (6-Pair),35.49,4.5,332,3,5.83
clothing,"Omie OmieBox Insulated Bento Lunch Box with Leak Proof Thermos Food Jar-3 Compartments, Two Temperature Zones, One Size, (Purple Plum)",45.95,4.5,586,1,5.91
clothing,"Lip Glowy Balm: Hydrate, Glossy, Lightweight, Moisturize & Tint with Shea Butter",19.0,4.5,585,7,4.27
clothing,"Elite EXP Adjustable Dumbbells, Sold in Pairs, Stage 1, 5-50 lb. Dumbbells, Durable Steel Build, Innovative Workout Equipment, All-in-One Dumbbells, Expandable with Expansion Kits",359.99,4.5,833,4,93.41
clothing,"Big Student Backpack (Black/Black, One Size)",54.0,4.5,587,1,9.06
clothing,Classical Basic Travel Backpack For School Water Resistant Bookbag,23.99,4.5,655,3,6.89
clothing,"Bright Idea Vitamin C + Tri-Peptide Collagen Brightening Face Skincare Serum - Anti Aging, Reduces Dark Spots, Boosts Skin Elasticity - Clean - Vegan & Cruelty-Free - 1 Fl Oz",14.98,4.5,277,8,4.27
clothing,womens Ultimate Comfort Toe Seamed Ankle Socks Pack Of 6,11.37,4.5,729,9,3.28
clothing,"Hayward 2.0 Backpack, for Women and Men with Polyester Shell & Adjustable Straps, Black/Black/White",54.0,4.5,481,3,2.72
clothing,"Hula Home Spray Bottle for Hair (10.1oz/300ml) - Continuous Empty Ultra Fine Plastic Water Mist Sprayer – For Hairstyling, Cleaning, Salons, Plants, Essential Oil Scents & More - White",11.99,4.5,780,6,1.2
clothing,"Freeform Hardside Expandable with Double Spinner Wheels, Carry-On 21-Inch, Black",139.99,4.5,554,3,25.0
clothing,"Women's Borealis Commuter Laptop Backpack, Pink Moss Dark Heather/Gardenia White-NPF, One Size",99.0,4.5,753,2,21.2
clothing,"Veken 8 Set Packing Cubes for Suitcases, Travel Essentials for Carry on, Luggage Organizer Bags Set for Travel Accessories in 4 Sizes (Extra Large, Large, Medium, Small), Black",16.98,4.5,244,9,3.47
clothing,"Glowscreen SPF 40, Sunrise (Champagne Glow) - 1.7 fl oz - Glowy Primer + Broad Spectrum Sunscreen - Helps Filter Blue Light - Boosts Hydration with Hyaluronic Acid, Vitamin B5 & Niacinamide",38.0,4.5,647,4,6.42
clothing,Women's Tasman Slipper,109.95,4.5,119,2,27.36
clothing,"Skin Perfecting 2% BHA Liquid Salicylic Acid Exfoliant, Gentle Facial Exfoliator for Blackheads, Large Pores, Wrinkles & Fine Lines, Travel Size, 1 Fluid Ounce",14.0,4.5,118,6,0.77
clothing,"Apple Watch Ultra [GPS + Cellular 49mm] Titanium Case with Midnight Ocean Band, One Size (Renewed Premium)",499.95,4.5,688,1,107.33
clothing,"Power Grip Primer, Gel-Based & Hydrating Face Primer For Smoothing Skin & Gripping Makeup, Moisturizes & Primes, 0.811 Fl Oz (24 ml)",9.97,4.5,662,5,1.32
clothing,"Shiatsu Neck and Back Massager with Soothing Heat, Nekteck Electric Deep Tissue 3D Kneading Massage Pillow for Shoulder, Leg, Body Muscle Pain Relief, Home, Office, and Car Use",49.99,4.5,282,1,4.69
clothing,Men's Dual Defense Ankle Socks (12 Pack),12.81,4.5,457,9,2.71
clothing,"Athletica Everywhere Belt Bag, Black, 7.5 x 5 x 2 inches",37.95,4.5,1000,2,10.94
clothing,Amazon.com eGift Card (Instant Email or Text Delivery),5.0,4.5,138,6,0.6
clothing,"Apple Watch Series 9 [GPS 45mm] Smartwatch with Midnight Aluminum Case with Midnight Sport Band M/L. Fitness Tracker, ECG Apps, Always-On Retina Display, Water Resistant",329.0,4.5,665,2,49.31
clothing,Amazon.com Gift Card in a Mini Envelope,10.0,4.5,559,5,0.89
clothing,"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor",189.0,4.5,278,3,12.19
clothing,"SuperBreak One School Backpack, Black",42.87,4.5,998,4,8.55
clothing,"Women's Every Day Jester Laptop Backpack, TNF Black/Burnt Coral Metallic, One Size",80.0,4.5,249,3,17.49
clothing,"50 Pcs Fidget Toys Pack - Kids Stocking Stuffers Gifts for Kids, Party Favors Autism Autistic Children - Adults Stress Relief Sensory Toy - ADHD Toys Bulk for Classroom Treasure Box Prizes - Pop Its",24.95,4.5,365,2,4.98
clothing,"Plus Cushion Socks (6-Pair) (L (Men's 8-12 / Women's 10-13), Crew Black)",30.99,4.5,634,2,6.8
clothing,"REVLON One Step Volumizer Hair Dryer and Styler | Less Frizz, More Shine, and Less Heat Damage for Fast and Easy Salon-Style Blowouts, for all Hair Types and Lengths (Black)",32.49,4.5,45,3,2.27
clothing,"Shoe Cleaner Kit with Bottle and Brush For Fabric Cleaner For Leather, Whites, Suede and Nubuck Sneakers",21.97,4.5,825,8,1.67
clothing,"European Travel Plug Adapter USB C, TESSAN International Plug Adapter with 4 AC Outlets and 3 USB Ports, Type C Power Adaptor Charger for US to Most of Europe Iceland Spain Italy France Germany",15.99,4.5,363,7,1.08
clothing,"Deodorant Contains Naturally Derived Ingredients, 72 Hour Odor Control | Deodorant for Women and Men, Aluminum Free with Baking Soda, Coconut Oil and Shea Butter | Coconut & Vanilla",12.97,4.5,78,8,0.82
clothing,"S2/S2R Plus Electric Scooter, 8.5""/9"" Tires, Up to 17/22 Miles Range, 350W Motor & 19 MPH Portable Folding Commuting Electric Scooter for Adults with Double Braking System and App",299.98,4.5,844,2,43.02
clothing,"Laptop Backpack - Computer Bag with 2 Compartments, Ergonomic Shoulder Straps, 15” Laptop Sleeve, Haul Handle - Book Rucksack - Black",47.48,4.5,216,2,6.92
clothing,Texas Instruments TI-Nspire CX II CAS Color Graphing Calculator with Student Software (PC/Mac),140.45,4.5,736,2,17.8
clothing,"Shoe Protector Spray - Rain & Stain Waterproof Nano Protection for Sneaker, Leather, Nubuck, Suede & Canvas",16.0,4.5,154,7,3.4
clothing,"Amazon Basics 1/3-Cut Tab, Assorted Positions File Folders, Letter Size, Manila - Pack of 100",13.48,4.5,987,9,3.81
clothing,"4.0 with 12 Month Subscription – Wearable Health, Fitness & Activity Tracker – Continuous Monitoring, Performance Optimization, Heart Rate Tracking – Improve Sleep, Strain, Recovery, Wellness",239.0,4.5,602,3,64.38
clothing,Nipple Cover - Sticky Adhesive Silicone Nipple Pasties - Reusable Pasty Nipple Covers for Women with Travel Box,26.5,4.5,548,4,3.35
clothing,"Rapsodo Mobile Launch Monitor for Golf Indoor and Outdoor Use with GPS Satellite View and Professional Level Accuracy, iPhone & iPad Only",283.37,4.5,603,1,54.26
clothing,"Bedsure Fleece Bed Blankets Queen Size Grey - Soft Lightweight Plush Fuzzy Cozy Luxury Blanket Microfiber, 90x90 inches",19.97,4.5,448,6,2.55
clothing,"SKIN Hydrated Ever After Skincare Mini Kit, Cleanser, Makeup Remover, Moisturiser & Eye Cream For Hydrating Skin, Airplane-Friendly Sizes",19.95,4.5,690,8,4.59
clothing,"Men's Crew T-Shirts, Multipack, Style G1100",25.37,4.5,853,3,4.81
clothing,"Lifting Wrist Straps for Weightlifting, Bodybuilding, Powerlifting, Strength Training, & Deadlifts - Padded Neoprene with 18 inch Cotton",14.99,4.5,373,7,0.99
clothing,Outdoor Pickleballs - X-40 Pickleball Balls - USA Pickleball (USAPA) Approved - Official US Open Ball,29.48,4.5,390,4,7.66
clothing,"Apple Watch Series 7 (GPS, 45mm) Midnight Aluminum Case with Midnight Sport Band (Renewed)",203.0,4.5,309,3,14.77
clothing,Amazon Echo Frames (3rd Gen) | Smart glasses with Alexa | Square frames in Classic Black with polarized sunglass lenses,229.99,4.5,472,4,39.82
clothing,"SAMSUNG Galaxy Watch Ultra 47mm LTE AI Smartwatch w/Energy Score, Wellness Tips, Heart Rate Tracking, Sleep Monitor, Fitness Tracker, GPS, 2024,Titanium Gray [US Version, 1Yr Manufacturer Warranty]",599.97,4.5,179,3,59.58
clothing,"Elmer's All Purpose School Glue Sticks, Washable, 7 Grams, 60 Count",18.63,4.5,185,10,4.07
clothing,"Borealis Commuter Laptop Backpack, TNF Black/TNF Black-NPF, One Size",99.0,4.5,783,4,22.91
clothing,"SuperBreak Backpack - Durable, Lightweight Premium Backpack - Black",38.74,4.5,473,3,3.92
clothing,"Cool Backpack, with 15-inch Laptop Sleeve - Large Computer Bag Rucksack with 2 Compartments, Ergonomic Straps, Black",59.98,4.5,571,3,9.64
clothing,"Keurig K-Elite Single-Serve K-Cup Pod Coffee Maker, Brushed Slate, 12 oz. Brew Size",139.99,4.5,24,1,31.73
clothing,Golf 300 Pro Laser Rangefinder,199.99,4.5,948,3,36.18
clothing,"Crayola Colored Pencils (36ct), Kids Pencils Set, Art Supplies, Great for Coloring Books, Classroom Pencils, School Supplies, 3+",5.97,4.5,181,8,0.96
clothing,"Oxford Composition Notebook 6 Pack, College Ruled Paper, 9-3/4 x 7-1/2 Inches, 100 Sheets, Assorted Marble Covers. 2 Each: Blue, Green, Red (63763)",11.49,4.5,627,10,2.78
clothing,"Bracoo Adjustable Compression Knee Patellar Pad Tendon Support Sleeve Brace for Men Women - Arthritis Pain, Injury Recovery, Running, Workout, KS10 (Black)",14.99,4.5,82,9,3.72
clothing,"Della Gao Travel Laptop Backpack, Large Anti Theft Backpack for Men and Women with USB Charging Port, Water Resistant Big Business Computer Backpack Bag Fit 17 Inch Laptop, Black",21.24,4.5,691,5,1.84
clothing,C.E.O. Glow Vitamin C & Turmeric Face Oil,40.0,4.5,114,3,9.68
clothing,"Inserts Relieve Plantar Fasciitis Flat Feet Insoles Arch Supports, Foot Pain Mens Mens 10-10 1/2 | Womens 12-12 1/2",19.99,4.5,758,7,4.19
clothing,Dry Fit Low Cut (6 Pairs) Unisex Athletic Socks,30.0,4.5,119,4,2.84
clothing,mens Everyday Cushioned Training Crew Socks,28.0,4.5,27,3,6.67
clothing,"DEWALT 8V MAX Cordless Screwdriver, Gyroscopic, Rechargeable, Battery Included (DCF682N1)",89.0,4.5,363,3,11.94
clothing,"Apple Watch Ultra 2 [GPS + Cellular, 49mm] - Titanium Case with Blue Ocean Band, One Size (Renewed)",599.0,4.5,175,2,39.08
clothing,Double-Sided Sticky Bra Pads Inserts Ultra Instant Lift Bra Inserts Push up Bikini Pad for Swimsuit Sports Bra,17.99,4.5,680,8,0.94
clothing,Mario Party Superstars - US Version,53.5,4.5,136,4,15.46
clothing,"Oversized Slim Runway Men's Watch, Stainless Steel Watch for Men",95.0,4.5,470,1,20.05
clothing,"9 Person Instant Cabin Tent - 14' x 9', Green (40008)",249.99,4.5,720,4,59.15
clothing,Men's Athletic Cushioned Crew Socks with Arch Compression for a Secure Fit (6-Pair),16.5,4.5,645,6,0.89
clothing,"Crayola Crayons Bulk (24 Packs), Back to School Supplies for Preschool & Kindergarten, Bulk Crayons for Kids, Classroom Supplies",23.3,4.5,450,3,2.81
clothing,"SAMSUNG Galaxy Watch 4 40mm Smartwatch with ECG Monitor Tracker for Health, Fitness, Running, Sleep Cycles, GPS Fall Detection, Bluetooth, US Version, SM-R860NZDAXAA, Pink Gold",144.72,4.5,830,3,42.98
clothing,"Frida Mom Women's Boyshort, Grey, (Waist 28""-42"" Stretched)",12.97,4.5,608,5,2.58
clothing,SuperBreak Plus Backpack with Padded 15-inch Laptop Sleeve and Integrated Bottle Pocket - Spacious and Durable Daypack for Work and Travel - Black,42.0,4.5,553,1,11.38
clothing,"Apple Watch Ultra 2 [GPS + Cellular 49mm] Smartwatch with Rugged Titanium Case & Blue Ocean Band One Size. Fitness Tracker, Precision GPS, Action Button, Extra-Long Battery Life, Bright Retina Display",699.0,4.5,589,4,40.82
clothing,unisex-adult Everyday Plus Crew Socks,29.95,4.5,195,3,2.26
clothing,SelectTech 552 Adjustable Dumbbells,429.0,4.5,979,2,89.25
clothing,"Vitamin C Serum – Anti Aging Facial Serum with Vitamin C, Hyaluronic Acid, Vitamin E & More – Brightening Serum for Dark Spots, Even Skin Tone, Eye Area, Fine Lines & Wrinkles, 2 Fl Oz",37.36,4.5,914,2,10.14
clothing,Bartesian Premium Cocktail and Margarita Machine for The Home Bar with Push-Button Simplicity and an Easy to Clean Design (55300),324.99,4.5,348,2,38.23
clothing,Casio fx-9750GIII Pink Graphing Calculator (fx-9750GIII-PK),59.99,4.5,452,2,11.48
clothing,"Bento Box Adult Lunch Box - 4 Pack, 5 - Compartment Meal Prep Container for Kids, Reusable Food Storage Snack Containers - Stackable for School, Work, and Travel (Wheat(Green/Blue/Pink/Beige))",16.99,4.5,266,6,3.16
clothing,"Original Recipe All Natural Soap Bar - Made in USA, Handmade, Vegan Moisturizing for Sensitive Skin - Women & Mens Face & Body Bar Soap - Wildflower Scent 5 Oz Each (5 Bars)",18.99,4.5,124,10,2.3
clothing,3 Pairs Compression Socks for Women and Men 20-30mmHg-Circulation Support Socks,14.99,4.5,86,10,0.85
clothing,"Crayola Colored Pencils Set (120ct), Coloring Book Pencils, Kids Art Supplies, Bulk Colored Pencils, Presharpened, Ages 3+",22.47,4.5,218,4,2.69
clothing,"Everyday Cushion Crew Socks, Unisex (Pack of 6 Pairs)",30.99,4.5,183,2,5.03
clothing,"8 Pieces Packing Cubes for Travel, Sturdy Suitcase Organizer in 4 Sizes (Extra Large, Large, Medium, Small), OlarHike Luggage Cubes with Toiletry Bag, Travel Essentials, Cruise Ship Gifts for Women",14.99,4.5,849,9,2.24
clothing,"Cool Backpack, with 15-inch Laptop Sleeve - Large Computer Bag Rucksack with 2 Compartments, Ergonomic Straps, Misty Rose",67.95,4.5,309,2,5.12
